GameNum,WhitePlayer,BlackPlayer,Game,White,Black,Date,Event,Link,
1,Los Bro SPQR,MaSK78,"1.(0T1)Ng1f3 / (0T1)Ng8f6 
2.(0T2)e2e3 / (0T2)d7d5 
3.(0T3)c2c4 / (0T3)c7c6 
4.(0T4)c4d5 / (0T4)Qd8b6 
5.(0T5)d5c6 / (0T5)Nb8c6 
6.(0T6)Nb1c3 / (0T6)Bc8g4 
7.(0T7)h2h3 / (0T7)Bg4h5 
8.(0T8)g2g4 / (0T8)Bh5g6 
9.(0T9)Nf3e5 / (0T9)Ra8d8 
10.(0T10)Bf1c4 / (0T10)e7e6 
11.(0T11)Bc4e6 / (0T11)f7e6 
12.(0T12)Nc3a4 / (0T12)Bg6e4 
13.(0T13)Rh1g1 / (0T13)Nc6e5 
14.(0T14)Na4b6 / (0T14)Ne5f3 
15.(0T15)Ke1e2 / (0T15)Be4c6 
16.(0T16)d2d3 / (0T16)Rd8d3 
17.(0T17)Nb6c8 ",1,0,17/01/2022,,,
2,Los Bro SPQR,Write and Wrong,"1. Nf3 / Nf6 
2. c4 / e6 
3. Nc3 / Bc5 
4. e3 / Nc6 
5. a3 / b6 
6. b4 / Be7 
7. Bb2 / Bb7 
8. h3 / a5 
9. b5 / Na7 
10. a4 / c6 
11. Qc2 / cxb5 
12. axb5 / Rc8 
13. Na4 / Bd5 
14. Qb3 / Be4 
15. Be2 / h6 
16. Bd4 / Rb8 
17. c5 / bxc5 
18. Nxc5 / Rxb5 
19. Bxb5 / O-O 
20. Nxe4 / Nxe4 
21. Bxa7 / Qc7 
22. Bd4 / Rb8 
23. Qd3 / d5 
24. Bxg7 / Kxg7 
25. Be8 / Rxe8 
26. Ng5 / Bxg5 
27. Qd4",1,0,17/04/2021,,,
3,Los Bro SPQR,Dreamer,"1. Nf3 / Nf6 
2. d4 / c5 
3. c3 / Qb6 
4. e3 / Nc6 
5. d5 / Nb4 
6. d6 / e6 
7. Nbd2 / Nbd5 
8. Nc4 / Qd8 
9. a4 / Rb8 
10. Bd3 / a6 
11. a5 / b5 
12. axb6 / Rxb6 
13. e4 / Rxd6 
14. Qe2 / Nc7 
15. Nxd6 / Bxd6 
16. e5 / Be7 
17. exf6 / Bxf6 
18. O-O / h6 
19. Bf4 / Nd5 
20. Bg3 / g5 
21. Bxa6 / Bg7 
22. Qxe6 / fxe6 
23. Bd3 / O-O 
24. Ne5 / Ne7 
25. Ra8 / Rf5 
26. Rxc8 / Qxc8 
27. Bxf5 / exf5 
28. (0T28)Ne5>>x(0T27)e7~ (>L1) / (1T27)Kh8 
29. (1T28)N5g6 / (0T28)Bg7>x(1T28)g6 
30. (0T29)Be5 (1T29)Nxg6 / (0T29)Kh7 (1T29)Kh7 
31. (0T30)Bf6 (1T30)Bxf5 / (0T30)Qf8 (1T30)exf5 
32. (0T31)Bf6>x(1T31)f5 / (0T31)Qf6 (1T31)Kh7>>(0T31)h8~ (>L-1) 
33. (-1T32)Re1 (1T32)Bf5>x(0T32)f6 / (-1T32)Ng6 (1T32)Qe8 (0T32)Ng6 
34. (-1T33)g3 (0T33)Re1 (1T33)Bd6 / (-1T33)Qd8 (1T33)Bg7>(0T33)f7 
35. (-1T34)b4 (0T34)Re7 (1T34)Bf8 / (-1T34)Qf8 (0T34)Nxe7 (1T34)Qxf8 
36. (1T35)Ng6>>x(1T33)g7~ (>L2) / (1T35)Qf8>>(1T31)f4~ (>L-2) 
37. (-2T32)Nf8",0,1,17/04/2021,,,
4,Los Bro SPQR,Tesseract,"1. Nf3 / Nf6 
2. c4 / c5 
3. Nc3 / Nc6 
4. g3 / e6 
5. Bg2 / Nd4 
6. Nd5 / Nxf3 
7. Bxf3 / exd5 
8. cxd5 / Qe7 
9. O-O / Ne4 
10. d3 / Ng5 
11. Be3 / Qxe3 
12. fxe3 / Nh3 
13. Kg2 / f5 
14. Qa4 / Ng5 
15. Qh4 / (0T15)Bf8>>x(0T10)f3~ (>L-1)
16. (-1T11)exf3 / (-1T11)Qe5 
17. (-1T12)fxe4 / (-1T12)Qh5 
18. (-1T13)Qxh5 / (-1T13)g6 
19. (-1T14)Qe5",1,0,10/05/2021,,,
5,Tones,Sapphia,"1. e4 / Nf6
2. d4 / Nxe4
3. Qf3 / Nf6
4. Qb3 / Rg8
5. (0T5)Qb3>>x(0T1)f7~ (>L1) / (1T1)Kxf7
6. (1T2)Nh3 / (1T2)Nf6
7. (1T3)Ng5 / (1T3)Ke8
8. (1T4)c3 / (0T5)Rg8>>(0T2)g8~ (>L-1)
9. (-1T3)Bc4 / (-1T3)c6
10. (-1T4)Bxf7 / (1T4)Nf6>x(-1T4)f7
11. (1T5)Qb3 (-1T5)Qe2 / (-1T5)Qd8>>(-1T3)b6~ (>L-2)
12. (-2T4)c3 / (-2T4)e6
13. (-2T5)Ke2 / (-2T5)Qb6>x(1T5)b3
14. (1T6)axb3 (-1T6)Qf3 (0T6)Nc3 (-2T6)Qd3 / (0T6)d6 (-1T6)Ng5 (-2T6)Nxe4 (1T6)d6
15. (-2T7)Qxe4 (-1T7)Qf3>(1T7)f3 (0T7)Bc4 / (-1T7)Ngxe4 (-2T7)Qg5 (1T7)Qd7 (0T7)Be6
16. (1T8)Qf3>>(1T4)f7~ (>L2) / (1T8)Bf8>>x(1T2)f2~ (>L-3)
17. (-3T3)Nxf2 / (-3T3)e6
18. (-3T4)e3",1,0,07/08/2021,,,
6,MaSK78,Public Match,"1.(0T1)Ng1f3 / (0T1)g7g6 
2.(0T2)c2c3 / (0T2)Nb8c6 
3.(0T3)Qd1b3 / (0T3)e7e6 
4.(0T4)e2e3 / (0T4)Bf8e7 
5.(0T5)Qb3>>(0T1)f7 / (1T1)Ke8f7 
6.(1T2)Ng1h3 / (1T2)Ng8f6 (0T5)Ng8f6 
7.(1T3)Nh3g5 / (1T3)Kf7g8 
8.(1T4)c2c3 / (1T4)h7h6 
9.(1T5)Qd1b3 ",1,0,17/01/2022,,,
7,CrazyPenguin,MaSK78,"1.(0T1)Ng1f3 / (0T1)Ng8f6 
2.(0T2)a2a4 / (0T2)d7d5 
3.(0T3)a4a5 / (0T3)c7c6 
4.(0T4)e2e3 / (0T4)Bc8g4 
5.(0T5)h2h3 / (0T5)Bg4h5 
6.(0T6)c2c4 / (0T6)e7e6 
7.(0T7)Qd1b3 / (0T7)b7b6 
8.(0T8)a5b6 / (0T8)d5c4 
9.(0T9)Qb3c4 / (0T9)Qd8b6 
10.(0T10)b2b3 / (0T10)Bf8d6 
11.(0T11)Bc1b2 / (0T11)Nb8d7 
12.(0T12)Qc4>>(0T10)e6 / (1T10)f7e6 
13.(1T11)Nf3g5 / (1T11)Bh5f7 
14.(1T12)Ng5f7 / (0T12)Nd7>(1T12)f7 
15.(0T13)Nf3g5 (1T13)Bf1d3 / (1T13)Nf6d5 (0T13)Qb6c5 
16.(1T14)Qc4g4 (0T14)Nb1c3 / (0T14)Qc5g5 (1T14)Nd5e3 
17.(0T15)Nc3d5 (1T15)f2e3 / (0T15)Qg5>(1T15)g4 
18.(1T16)Bd3c4 (0T16)Nd5c7 / (0T16)Bd6c7 (1T16)Qg4g3 ",0,1,16/01/2022,,,
8,Sapphia,Tones,"1. Nf3 / Nf6
2. Na3 / d5
3. c4 / c6
4. Qb3 / Qb6
5. Qxb6 / axb6
6. b3 / Rxa3
7. Bxa3 / c5
8. g3 / Bg4
9. Bg2 / Ne4
10. O-O / Bxf3
11. Bxf3 / Nxd2
12. Bxd5 / Nc6
13. Bb2 / e6
14. Bxc6 / bxc6
15. Be5 / (0T15)Nd2>>x(0T13)e2~ (>L-1)
16. (-1T14)Kh1 / (-1T14)Nd8
17. (-1T15)Bf6 / (-1T15)Nxg3
18. (-1T16)Kg2 (0T16)Kg2 / (-1T16)Ne2 (0T16)Bd6
19. (0T17)Be5>>(0T15)g5~ (>L1) / (1T15)f6
20. (1T16)Bxd2 / (1T16)Bd6
21. (1T17)Bd2>>(1T16)d3~ (>L2) / (2T16)Nf3",0,1,07/08/2021,,,
9,Tones,Sapphia,"1. Nf3 / Nf6
2. b3 / c6
3. Bb2 / Qb6
4. Bd4 / c5
5. Bxf6 / Qxf6
6. Nc3 / e6
7. d4 / b6
8. d5 / Bb7
9. dxe6 / Qxc3",0,1,15/8/2021,,,
10,Sapphia,Tones,"1. Nf3 / Nf6
2. e3 / c6
3. Ne5 / Qb6
4. Bc4 / (0T4)Qb6>>x(0T0)f2~ (>L-1)
5. (-1T1)Kxf2 / (-1T1)Nh6
6. (-1T2)Nf3 / (-1T2)Ng4
7. (0T5)Bc4>>(0T2)f4~ (>L1) / (1T2)e6
8. (-1T3)Ke1 (1T3)e3 / (-1T3)Ng4>>(-1T1)f4~ (>L-2)",0,1,15/08/2021,,,
